First Name,Age,Status,Title,Info,Tails
Fumiko,4,Fostered,Moonwatcher,Creates a secret alphabet of pebble stacks and whisper maps.,0
Hoshiki,4,Fostered,Flamebud,Plucks hairs from her own tail to tie around herbs as memory bundles.,1
Naoki,4,Fostered,Flamebud,Tells fortunes by rolling seeds across a rice mat and reading their dance.,1
Seika,4,Fostered,Veil Sprout,Bows to every new flower bloom she sees and introduces herself.,0
Kimiko,4,Fostered,Flamebud,Plucks hairs from her own tail to tie around herbs as memory bundles.,1
Nirei,4,Fostered,Flamebud,Tells fortunes by rolling seeds across a rice mat and reading their dance.,1
Takane,4,Fostered,Veil Sprout,Bows to every new flower bloom she sees and introduces herself.,1
Tenkai,4,Fostered,Initiate,Buries broken threads under stepping stones for 'quiet luck'.,1
Natsuki,4,Normal,Veil Sprout,Watches the moon each night and whispers her wishes upward.,1
Yosuke,4,Normal,Initiate,Creates mud masks and convinces others they summon fox spirits.,0
Naomiko,4,Normal,Silent Tail,Traces tail shapes in sand to predict the next visitor.,0
Nanao,4,Normal,Flamebud,Collects the softest petals she can find to build a 'dream nest'.,1
Akeno,4,Normal,Moonwatcher,Trims moss into shapes of animals and calls them guardians.,1
Kyoya,4,Normal,Veil Sprout,"Taps water bowls with chopsticks until the ripples stop, then bows.",0
Tsukiyo,4,Normal,Veil Sprout,"Taps water bowls with chopsticks until the ripples stop, then bows.",1
Isana,4,Normal,Initiate,Gathers dandelion seeds and names them as she lets them fly.,0
Reiichi,4,Normal,Flamebud,Hides acorns in the sleeves of statues as secret offerings.,1
Fuyumi,4,Normal,Silent Tail,Weaves long blades of grass into 'wind traps' to catch stray spirits.,1
Takari,4,Normal,Veil Sprout,Counts leaf veins under moonlight as if reading old scrolls.,1
Wakumi,4,Orphan,Veil Sprout,Pours ash into cracked wood to 'feed the forgotten roots'.,1
Shiori,5,Fostered,Veil Sprout,Watches the stars and winks whenever one blinks at her.,1
Reiha,5,Fostered,Moonwatcher,Balances smooth pebbles while chanting old mountain folk songs.,1
Yurika,5,Fostered,Veil Sprout,"Draws breath with her tail curled over her nose when scared, saying it guards her soul.",1
Tamari,5,Fostered,Veil Sprout,"Draws breath with her tail curled over her nose when scared, saying it guards her soul.",1
Kohana,5,Normal,Initiate,Murmurs names into flower buds before blowing them away.,1
Honoka,5,Normal,Initiate,Pretends every footstep is part of a silent song only she can hear.,1
Maiko,5,Normal,Silent Tail,Doodles smiley faces with dew drops on sun-warmed wood.,1
Chinatsu,5,Normal,Veil Sprout,Draws imaginary tea sets on dirt and hosts silent tea ceremonies.,1
Shizue,5,Normal,Initiate,Ties wishes around plum twigs and waits for bees to carry them.,1
Isami,5,Normal,Moonwatcher,"Stares at the moon through a ring made of her fingers and tail, calling it a truth-circle.",1
Jiyuu,5,Normal,Moonwatcher,"Stares at the moon through a ring made of her fingers and tail, calling it a truth-circle.",1
Tatsuya,5,Normal,Silent Tail,Sniffs dry earth and guesses what the sky is planning.,1
Mika,5,Normal,Initiate,Carries old bell clappers and listens to their silence.,0
Mutsumi,5,Orphan,Moonwatcher,Speaks in rhyme only while walking uphill to keep mountain spirits amused.,1
Hiroka,5,Orphan,Initiate,Balances dried beans on her nose until they fall - then asks what they mean.,0
Itsuno,5,Orphan,Moonwatcher,"Taps temple walls three times before sleeping, to close her thoughts.",1
Naruki,6,Fostered,Moonwatcher,Pretends to be a forgotten priestess and 'blesses' clouds.,1
Tohru,6,Fostered,Veil Sprout,Snips grass with her fingers and lays it in patterns she only understands.,1
Yuuto,6,Normal,Veil Sprout,Buries tiny 'secrets' wrapped in silk squares under moonlit stone piles.,1
Seiji,6,Normal,Veil Sprout,Picks wild berries and arranges them in spiral patterns on stone.,1
Suzuka,6,Normal,Moonwatcher,Pretends to be invisible to test who really notices her presence.,1
Hisano,6,Normal,Veil Sprout,Drops tea leaves into a bowl and waits to see which ones 'swim first'.,1
Honami,6,Normal,Flamebud,Paints messages in mud on stone then washes them off with thanks.,1
Noa,6,Normal,Moonwatcher,Keeps a jar of fog she captured with silk cloth before dawn.,1
Haruki,6,Normal,Silent Tail,Trains in balancing leaves on her nose while meditating in the garden.,1
Ayakae,6,Orphan,Silent Tail,Presses her forehead to tree bark and listens for 'yesterday's whispers'.,1
Kumari,6,Orphan,Silent Tail,"Dances in circles until her tail brushes every direction, then bows in stillness.",1
Misao,6,Orphan,Silent Tail,"Dances in circles until her tail brushes every direction, then bows in stillness.",1
Azumi,6,Orphan,Silent Tail,Makes tiny cloaks from grass for beetles and tucks them into shade.,1
Momoka,7,Fostered,Moonwatcher,"Pretends to be a shrine maiden, ringing an invisible bell in secret.",1
Yuriko,7,Fostered,Silent Tail,Speaks to thunder by stomping rhythmically when clouds roll in.,1
Tsuna,7,Fostered,Silent Tail,Follows moss trails to see if they 'point' to anything important.,1
Noko,7,Normal,Initiate,Loves collecting smooth stones from the nearby creek and hiding them in tree knots.,1
Takeru,7,Normal,Initiate,Picks up abandoned feathers to build a nest offering for shrine spirits.,1
Maika,7,Normal,Flamebud,Leaves small acorn trails toward her bed 'in case spirits visit'.,1
Miwa,7,Normal,Initiate,Wears dried vines like bracelets and claims they 'whisper advice'.,1
Kanae,7,Normal,Moonwatcher,Places tiny twig arrows around camp to guide imaginary wanderers.,1
Yumeha,7,Normal,Moonwatcher,Wraps tree roots in string and names them like ancient dragons.,1
Umeko,7,Normal,Initiate,Whispers names of ancestors into her hands and blows it to wind.,1
Sachiko,7,Normal,Moonwatcher,Buries seasonal fruit cores and checks if 'spirit roots' grow.,1
Hotaru,7,Normal,Flamebud,Follows dragonflies and counts how many turns they make midair.,1
Tetsuya,7,Normal,Moonwatcher,Forms Kanji with flower petals on sand then scatters them with a tail swipe.,1
Ayashi,7,Normal,Flamebud,Bows to puddles after stepping over them - to thank their reflection.,1
Masaru,7,Normal,Silent Tail,Wraps small bells in cloth so spirits can hear her wishes softly.,1
Koumei,7,Normal,Silent Tail,Wraps small bells in cloth so spirits can hear her wishes softly.,1
Kotato,7,Normal,Flamebud,Ties invisible thread through doorways so 'only kind people can pass.',1
Kiyoshi,7,Normal,Moonwatcher,Gathers fallen twigs to create story shapes during dusk rituals.,1
Nanako,7,Normal,Silent Tail,Blows over tea steam and gives it names like 'Wish Fog' or 'Soft Roar'.,1
Natsume,7,Orphan,Veil Sprout,Leaves wishes inside cracked seed pods and places them in hidden shrine hollows.,1
Harutochi,7,Orphan,Veil Sprout,Leaves wishes inside cracked seed pods and places them in hidden shrine hollows.,1
Ririka,8,Fostered,Flamebud,Taps gongs gently and listens to echo length like counting blessings.,1
Hoshina,8,Fostered,Initiate,Traces fox shapes on misty windows with her breath before dawn.,1
Kaede,8,Fostered,Flamebud,Swirls fallen hair strands into symbols and buries them as protection charms.,1
Kaname,8,Normal,Silent Tail,Talks to the koi in the pond and insists they answer in bubbles.,1
Masaki,8,Normal,Veil Sprout,Pretends she's blindfolded and guesses tail direction by wind only.,1
Natsuo,8,Normal,Moonwatcher,Talks backwards during twilight walks to 'undo bad luck'.,1
Keina,8,Normal,Initiate,Sings lullabies to beetles she finds under fallen logs.,1
Momoe,8,Normal,Moonwatcher,"Talks to her reflection in water, giving it daily wisdom.",1
Yuzuki,8,Normal,Veil Sprout,Pretends to teach dance to her own shadow while bells chime softly.,1
Kumiya,8,Normal,Veil Sprout,Carries feathers in her sleeve to trade for luck with wind spirits.,1
Satsuno,8,Normal,Veil Sprout,Watches ants march across temple stones and hums a song to guide them.,1
Noen,8,Normal,Veil Sprout,Watches ants march across temple stones and hums a song to guide them.,1
Kaorune,8,Normal,Initiate,Presses fallen camellia flowers into wall crevices for luck.,1
Kikuno,8,Orphan,Initiate,Marks circles around mushrooms with finger trails to keep them 'safe'.,1
Otoha,8,Orphan,Veil Sprout,Collects rain-splashed leaves and ranks them by bravery.,1
Rikuji,8,Orphan,Moonwatcher,"Pretends each footstep erases one regret and walks in long, slow circles.",1
Yoshiki,9,Fostered,Veil Sprout,Pretends her shadow is a sibling and leaves food offerings for it.,1
Kaito,9,Fostered,Flamebud,Collects tiny mushroom caps to form a 'forest orchestra'.,1
